"tanggal","total_konfirmasi","sembuh","meninggal","aktif","id"
"2020-03-01 0:00:00","2","0","0","2","1"
"2020-03-02 0:00:00","2","0","0","2","2"
"2020-03-03 0:00:00","2","0","1","1","3"
"2020-03-04 0:00:00","4","0","1","3","4"
"2020-03-05 0:00:00","4","0","1","3","5"
"2020-03-06 0:00:00","4","0","1","3","6"
"2020-03-07 0:00:00","4","0","1","3","7"
"2020-03-08 0:00:00","5","0","1","4","8"
"2020-03-09 0:00:00","5","0","1","4","9"
"2020-03-10 0:00:00","6","0","1","5","10"
"2020-03-11 0:00:00","6","0","2","4","11"
"2020-03-12 0:00:00","7","0","2","5","12"
"2020-03-13 0:00:00","12","4","2","6","13"
"2020-03-14 0:00:00","12","4","2","6","14"
"2020-03-15 0:00:00","15","4","2","9","15"
"2020-03-16 0:00:00","15","4","2","9","16"
"2020-03-17 0:00:00","27","4","2","21","17"
"2020-03-18 0:00:00","29","5","3","21","18"
"2020-03-19 0:00:00","37","5","4","28","19"
"2020-03-20 0:00:00","46","5","6","35","20"
"2020-03-21 0:00:00","52","5","6","41","21"
"2020-03-22 0:00:00","55","5","9","41","22"
"2020-03-23 0:00:00","62","5","11","46","23"
"2020-03-24 0:00:00","63","6","11","46","24"
"2020-03-25 0:00:00","67","6","11","50","25"
"2020-03-26 0:00:00","73","6","11","56","26"
"2020-03-27 0:00:00","101","6","14","81","27"
"2020-03-28 0:00:00","123","11","16","96","28"
"2020-03-29 0:00:00","151","12","18","121","29"
"2020-03-30 0:00:00","177","15","18","144","30"
"2020-03-31 0:00:00","186","15","18","153","31"
"2020-04-01 0:00:00","212","18","23","171","32"
"2020-04-02 0:00:00","228","19","27","182","33"
"2020-04-03 0:00:00","230","19","28","183","34"
"2020-04-04 0:00:00","249","19","30","200","35"
"2020-04-05 0:00:00","255","19","30","206","36"
"2020-04-06 0:00:00","266","20","31","215","37"
"2020-04-07 0:00:00","343","23","31","289","38"
"2020-04-08 0:00:00","364","24","36","304","39"
"2020-04-09 0:00:00","374","26","42","306","40"
"2020-04-10 0:00:00","384","26","42","316","41"
"2020-04-11 0:00:00","418","26","42","350","42"
"2020-04-12 0:00:00","448","27","46","375","43"
"2020-04-13 0:00:00","547","31","55","461","44"
"2020-04-14 0:00:00","550","32","55","463","45"
"2020-04-15 0:00:00","579","33","56","490","46"
"2020-04-16 0:00:00","591","40","57","494","47"
"2020-04-17 0:00:00","651","55","60","536","48"
"2020-04-18 0:00:00","660","55","60","545","49"
"2020-04-19 0:00:00","714","60","61","593","50"
"2020-04-20 0:00:00","743","64","64","615","51"
"2020-04-21 0:00:00","752","83","69","600","52"
"2020-04-22 0:00:00","758","87","72","599","53"
"2020-04-23 0:00:00","781","95","75","611","54"
"2020-04-24 0:00:00","855","98","77","680","55"
"2020-04-25 0:00:00","899","100","77","722","56"
"2020-04-26 0:00:00","910","100","77","733","57"
"2020-04-27 0:00:00","949","103","78","768","58"
"2020-04-28 0:00:00","968","106","79","783","59"
"2020-04-29 0:00:00","1006","110","79","817","60"
"2020-04-30 0:00:00","1010","147","83","780","61"
"2020-05-01 0:00:00","1010","149","83","778","62"
"2020-05-02 0:00:00","1041","151","84","806","63"
"2020-05-03 0:00:00","1052","155","85","812","64"
"2020-05-04 0:00:00","1248","162","86","1000","65"
"2020-05-05 0:00:00","1296","170","87","1039","66"
"2020-05-06 0:00:00","1316","180","90","1046","67"
"2020-05-07 0:00:00","1377","185","90","1102","68"
"2020-05-08 0:00:00","1400","187","92","1121","69"
"2020-05-09 0:00:00","1431","205","95","1131","70"
"2020-05-10 0:00:00","1431","205","95","1131","71"
"2020-05-11 0:00:00","1486","216","98","1172","72"
"2020-05-12 0:00:00","1542","216","98","1228","73"
"2020-05-13 0:00:00","1550","240","98","1212","74"
"2020-05-14 0:00:00","1559","245","99","1215","75"
"2020-05-15 0:00:00","1590","262","100","1228","76"
"2020-05-16 0:00:00","1615","263","100","1252","77"
"2020-05-17 0:00:00","1646","321","110","1215","78"
"2020-05-18 0:00:00","1673","398","123","1152","79"
"2020-05-19 0:00:00","1694","412","124","1158","80"
"2020-05-20 0:00:00","1870","413","124","1333","81"
"2020-05-21 0:00:00","1956","423","124","1409","82"
"2020-05-22 0:00:00","1996","433","125","1438","83"
"2020-05-23 0:00:00","2039","471","127","1441","84"
"2020-05-24 0:00:00","2085","479","128","1478","85"
"2020-05-25 0:00:00","2107","479","128","1500","86"
"2020-05-26 0:00:00","2124","505","137","1482","87"
"2020-05-27 0:00:00","2151","541","142","1468","88"
"2020-05-28 0:00:00","2176","586","142","1448","89"
"2020-05-29 0:00:00","2208","592","142","1474","90"
"2020-05-30 0:00:00","2228","616","144","1468","91"
"2020-05-31 0:00:00","2258","619","144","1495","92"
"2020-06-01 0:00:00","2295","619","144","1532","93"
"2020-06-02 0:00:00","2313","648","151","1514","94"
"2020-06-03 0:00:00","2343","701","154","1488","95"
"2020-06-04 0:00:00","2351","719","155","1477","96"
"2020-06-05 0:00:00","2363","763","158","1442","97"
"2020-06-06 0:00:00","2373","778","158","1437","98"
"2020-06-07 0:00:00","2401","877","158","1366","99"
"2020-06-08 0:00:00","2421","951","161","1309","100"
"2020-06-09 0:00:00","2454","962","161","1331","101"
"2020-06-10 0:00:00","2505","995","161","1349","102"
"2020-06-11 0:00:00","2551","1016","161","1374","103"
"2020-06-12 0:00:00","2569","1057","161","1351","104"
"2020-06-13 0:00:00","2584","1092","161","1331","105"
"2020-06-14 0:00:00","2601","1135","161","1305","106"
"2020-06-15 0:00:00","2620","1142","162","1316","107"
"2020-06-16 0:00:00","2659","1151","162","1346","108"
"2020-06-17 0:00:00","2703","1177","169","1357","109"
"2020-06-18 0:00:00","2756","1231","171","1354","110"
"2020-06-19 0:00:00","2805","1261","171","1373","111"
"2020-06-20 0:00:00","2823","1261","171","1391","112"
"2020-06-21 0:00:00","2843","1263","171","1409","113"
"2020-06-22 0:00:00","2864","1287","171","1406","114"
"2020-06-23 0:00:00","2898","1317","171","1410","115"
"2020-06-24 0:00:00","2939","1326","171","1442","116"
"2020-06-25 0:00:00","2975","1388","173","1414","117"
"2020-06-26 0:00:00","3012","1498","175","1339","118"
"2020-06-27 0:00:00","3059","1513","175","1371","119"
"2020-06-28 0:00:00","3089","1520","175","1394","120"
"2020-06-29 0:00:00","3137","1522","175","1440","121"
"2020-06-30 0:00:00","3222","1607","176","1439","122"
"2020-07-01 0:00:00","3280","1622","177","1481","123"
"2020-07-02 0:00:00","3346","1665","177","1504","124"
"2020-07-03 0:00:00","3375","1670","177","1528","125"
